League,day,date,time,home,away,Home xG,Away xG,Home Win,Draw,Away Win,Over 1.5,Over 2.5,BTTS
TUR Super Lig,Sun,2023-10-22,16:00,İstanbulspor,Ankaragücü,1.181,1.311,0.325,0.289,0.387,0.72,0.454,0.516
TUR Super Lig,Sun,2023-10-22,19:00,Samsunspor,Başakşehir,0.735,1.594,0.163,0.267,0.571,0.684,0.412,0.423
TUR Super Lig,Sun,2023-10-22,19:00,Fenerbahçe,Hatayspor,3.503,0.523,0.903,0.074,0.024,0.913,0.766,0.397
TUR Super Lig,Mon,2023-10-23,20:00,Trabzonspor,Alanyaspor,2.477,1.27,0.633,0.192,0.175,0.894,0.722,0.664
TUR Super Lig,Mon,2023-10-23,20:00,Fatih Karagümrük,Adana Demirspor,1.744,2.171,0.309,0.216,0.474,0.908,0.749,0.737
TUR Super Lig,Fri,2023-10-27,20:00,Kasımpaşa,İstanbulspor,1.695,1.266,0.467,0.255,0.278,0.803,0.568,0.594
NLD Eredivisie,Sat,2023-10-21,16:30,Feyenoord,Vitesse,2.548,0.636,0.779,0.159,0.062,0.836,0.617,0.443
NLD Eredivisie,Sat,2023-10-21,18:45,RKC Waalwijk,Volendam,2.052,1.34,0.526,0.238,0.235,0.865,0.659,0.656
NLD Eredivisie,Sat,2023-10-21,18:45,PSV Eindhoven,Fortuna Sittard,3.336,0.663,0.866,0.099,0.036,0.914,0.762,0.473
NLD Eredivisie,Sat,2023-10-21,21:00,AZ Alkmaar,Heerenveen,2.583,0.701,0.769,0.162,0.069,0.849,0.637,0.475
NLD Eredivisie,Sat,2023-10-21,21:00,NEC Nijmegen,Almere City,2.018,0.811,0.642,0.23,0.128,0.787,0.537,0.495
NLD Eredivisie,Sun,2023-10-22,12:15,Utrecht,Ajax,1.309,2.112,0.221,0.233,0.546,0.868,0.664,0.654
NLD Eredivisie,Sun,2023-10-22,14:30,Excelsior,Zwolle,1.392,1.145,0.408,0.3,0.292,0.737,0.466,0.53
NLD Eredivisie,Sun,2023-10-22,14:30,Heracles Almelo,Twente,0.812,2.301,0.104,0.198,0.697,0.828,0.602,0.512
NLD Eredivisie,Sun,2023-10-22,16:45,Go Ahead Eag,Sparta R'dam,1.27,1.643,0.281,0.273,0.446,0.803,0.557,0.595
NLD Eredivisie,Fri,2023-10-27,20:00,Vitesse,Zwolle,1.502,0.805,0.521,0.295,0.185,0.687,0.406,0.446
